PLAYER_ID,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP
1629655,4691,2920,541,281,812,2753,1955,1162,781,475,506
1629636,7204,1015,2558,447,44,5818,2635,1196,1037,1127,382
1630585,41,29,20,8,5,48,16,9,5,8,16
1630568,604,248,53,22,12,443,217,173,121,50,124
1641718,2099,464,709,82,16,1734,678,508,422,371,142
1642273,590,285,169,68,50,546,203,93,70,97,68
202331,18697,5684,3369,1539,401,14553,6400,4160,3548,2423,908
201959,9277,6249,1030,574,1036,7474,3858,2107,1501,1155,1100
1630581,3942,2100,1703,243,140,3433,1593,572,437,752,280
1628983,11294,2211,2362,666,370,7872,3943,3243,2794,1072,462
1630264,773,395,122,44,40,549,281,221,166,74,230
1631221,281,99,105,34,5,227,100,34,27,31,57
203497,10458,9700,1123,576,1718,5950,3903,4137,2652,1337,829
1630692,1304,824,520,184,73,1264,503,198,150,195,207
203932,10375,4758,2100,555,479,8136,3927,2463,1700,1165,770
201569,14990,2247,2691,819,350,11867,5112,3147,2550,1780,994
1641789,24,5,6,2,1,23,9,4,2,5,16
203924,9865,3031,1196,518,827,7488,3364,2888,2153,958,799
1631260,947,283,160,52,11,745,318,50,43,61,164
203110,7665,6087,4948,1183,888,6299,2831,1775,1261,2027,881
1630224,6173,1310,1030,240,91,5082,2143,1387,1108,729,307
1629750,1892,1102,260,311,143,1412,697,428,318,182,372
201145,17971,6035,2214,949,721,14511,6500,4332,3480,1924,1498
1630182,1941,777,448,224,46,1526,736,291,200,263,291
1629656,3976,1171,782,296,95,3139,1389,635,483,435,369
1631243,221,161,31,33,37,194,80,48,37,16,39
1629060,5025,1921,497,228,127,3994,1975,852,648,355,400
1630169,7023,1529,3575,624,248,5332,2540,1086,926,910,410
1641790,33,22,4,0,4,24,14,4,3,2,19
203501,12325,2560,1645,549,116,10251,4250,2223,1819,904,878
201935,30202,7321,9458,1850,724,20336,8923,10337,8912,4721,1260
1630702,1446,309,255,67,16,1226,521,241,184,190,178
1641989,32,21,8,10,1,35,11,6,3,3,10
1631199,24,14,7,0,1,24,9,3,3,0,11
203914,6828,1494,1219,695,150,5663,2509,1050,851,670,657
202699,20453,7848,2952,988,695,16369,7799,3705,3093,1774,1263
1628404,7023,4687,2202,704,209,5342,2564,1472,1109,967,660
1628392,2820,2604,812,291,390,1988,1170,661,451,456,425
1630573,1894,733,227,111,61,1478,666,47,40,87,256
1641722,1128,306,136,49,30,1012,381,178,147,98,123
1629637,2494,1443,259,169,247,1491,967,761,530,263,367
1630165,1758,637,1121,249,97,1801,689,265,206,427,216
1630703,1705,392,671,116,26,1482,594,410,325,389,128
1641707,306,200,34,33,34,258,112,33,26,29,43
1629639,6987,1802,1460,263,70,5674,2540,1056,923,811,361
1627741,13876,3827,2361,795,303,11701,5031,1231,1058,1512,961
1629312,1171,681,233,160,87,992,445,114,69,137,218
1628988,3297,831,1053,304,89,2842,1205,492,420,454,511
201950,16422,4340,6440,1473,535,13928,6434,2513,1980,2673,1037
1641842,522,218,82,49,17,416,197,122,92,72,81
1626158,4363,2788,504,254,468,2981,1797,959,719,430,529
1641747,0,0,0,0,0,0,0,0,0,0,0
1631096,1836,905,263,76,261,1294,672,409,319,187,114
1641720,246,67,82,13,16,241,84,62,48,45,51
201143,14705,8944,3629,866,1300,11900,6062,2104,1605,1569,1138
1629659,2809,800,852,237,110,2426,1036,633,488,424,305
1631216,685,258,94,49,17,578,226,61,51,47,168
1641724,296,77,50,15,13,292,108,27,18,39,78
1628989,6282,1843,1570,510,189,5392,2370,512,387,650,551
1630643,513,165,51,22,64,348,181,74,61,41,95
1630574,48,51,11,1,15,31,21,13,6,21,25
1629631,5927,1594,589,274,110,4515,2053,1306,1077,530,391
1630538,2570,563,692,181,62,2200,877,404,343,344,266
1642345,255,222,71,28,29,187,113,50,29,39,61
204060,5722,2195,2589,622,101,4514,2018,593,459,1058,723
1627742,9656,2566,2130,358,280,7541,3528,2429,1913,1268,495
1631127,4,9,3,3,0,4,2,0,0,1,5
202681,20056,3477,4696,1088,382,15516,7381,3633,3230,2070,839
1628371,2097,1359,222,263,360,1751,775,435,326,215,276
1631093,2917,676,802,146,69,2369,1016,775,578,516,181
1641713,908,288,88,40,29,762,315,193,144,96,77
1630543,1170,697,116,93,214,780,464,350,235,135,164
1631245,220,56,70,26,6,165,77,64,50,20,40
202704,13025,3026,4427,715,130,11565,4892,2163,1845,1915,1060
1641748,355,295,133,50,20,297,144,35,20,86,124
1628991,7518,2258,602,414,777,5700,2658,1891,1498,762,407
1631218,947,652,186,52,114,634,407,234,133,94,130
1642355,62,18,22,9,3,67,21,14,11,13,27
2544,42184,11731,11584,2345,1150,30583,15488,11735,8649,5471,1562
1631170,1459,575,361,138,34,1159,554,317,249,208,141
1629610,635,302,110,60,47,590,245,54,43,68,142
1641998,532,478,86,42,86,420,232,116,68,116,126
1642450,7,2,3,0,0,10,3,2,0,1,7
1629660,1986,467,648,166,22,1592,729,286,243,225,229
1630198,2434,643,361,168,46,1891,815,263,220,154,321
1642358,440,118,152,24,6,426,164,74,64,70,58
1629661,5045,1527,742,332,120,3809,1735,804,683,349,382
1630552,2023,1155,470,164,119,1607,810,358,255,257,184
201949,6739,3153,1871,681,766,5660,2668,1415,950,1215,907
1629640,5761,1992,797,258,93,4550,2127,1216,927,494,370
1630553,1593,510,389,160,61,1522,570,294,227,256,198
1642352,43,28,4,5,4,26,18,9,4,4,16
203999,16210,8141,5383,949,536,11142,6236,3550,2924,2176,745
1641732,378,214,108,59,31,329,146,81,52,56,108
1641794,135,121,58,16,4,133,51,28,17,28,54
1630529,2433,915,593,375,173,1837,877,522,430,316,240
1642403,134,57,12,5,10,83,54,36,23,16,40
1630539,575,384,69,48,78,352,250,98,68,73,147
1630222,393,134,104,17,3,287,122,150,97,62,83
1642461,26,17,5,5,5,34,11,3,3,5,20
1630200,2813,942,1582,291,45,2236,1103,534,447,355,343
1626145,5249,1374,3022,667,65,4564,2033,598,491,557,682
1627884,3651,1668,375,349,327,2713,1370,833,587,318,517
201599,10447,11951,1222,625,1675,6314,4234,4032,1977,1632,1228
202709,6345,2253,2730,687,201,5487,2428,1166,919,929,929
1631107,928,403,231,70,29,727,327,153,123,112,107
1630548,802,259,99,47,13,689,290,71,57,52,102
1642530,36,12,19,2,0,30,11,9,7,5,22
1630283,68,78,10,2,6,44,28,20,12,8,22
1628379,5063,1459,1136,281,61,3890,1792,500,443,495,519
1631117,1838,1808,226,92,465,1183,805,404,217,210,196
1630296,187,121,31,24,23,166,74,42,25,24,48
1630557,3229,822,431,134,61,2458,1166,395,318,267,292
1628467,2821,1934,508,179,378,2249,997,434,337,297,440
1641752,15,7,7,2,1,10,6,2,1,1,8
1642261,706,216,66,24,8,557,257,84,64,37,78
1628995,2830,1114,276,149,97,2514,1008,541,394,316,413
1642278,81,27,70,12,4,82,27,17,13,18,41
1631132,272,263,47,29,73,216,112,73,47,32,95
1629723,1298,1222,430,240,124,1056,495,150,109,153,307
1628436,1979,1321,415,128,332,1504,794,299,228,142,399
1630249,770,335,271,73,41,600,279,75,57,104,138
1630228,3225,1037,456,165,110,2387,1211,862,600,362,258
1628398,10174,3783,1598,340,300,8638,3873,1810,1287,1320,606
1631222,1400,709,395,165,62,1072,475,348,253,235,202
203897,15314,2980,2905,629,195,11554,5477,3110,2588,1933,728
1627746,1141,707,164,58,105,925,457,259,190,162,174
1629111,1195,727,215,59,87,899,466,251,192,142,221
1641796,251,92,65,32,7,203,89,61,41,24,55
