,PLAYER_ID,SCHOOL_NAME,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,full_name,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,HAND_LENGTH,HAND_WIDTH,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP
58,1628418,Indiana,25.5,33.0,11.42,3.12,3.37,7.0,Thomas Bryant,PF-C,81.5,247.8,90.0,112.5,9.5,10.25,3966,2292,410,159,305,2709,1568,753,586,302,458
59,1641723,Michigan,29.0,36.0,11.71,,3.26,,Kobe Bufkin,SG,76.25,186.80,79.75,102.5,8.0,9.25,134,54,44,10,7,139,52,26,17,18,27
60,202692,Colorado,29.0,36.0,10.96,,3.17,5.0,Alec Burks,SG,77.0,192.6,82.0,103.5,9.0,8.25,10589,3309,1926,661,209,8452,3479,2882,2355,1107,987
61,1630215,Baylor,,,,,,,Jared Butler,PG,74.25,193.00,76.0,98.5,8.5,8.25,1531,327,637,135,42,1290,580,234,192,248,208
62,202710,Marquette,32.0,39.0,11.12,,3.15,14.0,Jimmy Butler III,SF,78.0,222.2,79.5,101.5,9.0,9.0,18077,5285,4333,1600,436,12410,5866,6590,5562,1568,989
63,1641824,nan,31.0,38.0,10.73,2.9,3.09,,Matas Buzelis,SF,80.75,197.00,82.0,105.5,8.5,9.25,688,278,79,29,75,555,252,108,88,74,80
64,203484,Georgia,29.0,34.5,10.6,3.2,3.12,7.0,Kentavious Caldwell-Pope,SG,76.5,203.6,80.0,100.5,8.5,9.0,10172,2708,1652,1057,265,8479,3627,1685,1385,923,912
65,1641739,Georgia,28.5,33.0,10.7,3.19,3.41,,Toumani Camara,PF,79.0,220.40,84.5,107.0,9.0,10.0,1409,793,262,182,83,1154,525,225,166,193,148
66,1642267,nan,28.5,36.5,11.28,2.99,3.16,,Bub Carrington,PG,75.75,194.80,80.0,99.0,8.5,9.25,807,341,364,54,21,748,300,85,69,141,82
67,1642269,nan,35.0,42.0,10.63,2.9,2.87,,Devin Carter,SG,74.25,193.00,80.75,98.0,8.75,9.0,138,76,41,21,4,127,47,44,26,18,36
68,1628975,West Virginia,29.0,36.5,11.04,3.05,3.18,14.0,Jevon Carter,PG,72.25,196.2,76.25,95.0,9.25,8.5,2422,797,747,266,113,2233,879,157,126,274,478
69,1628976,Duke,,,,,,,Wendell Carter Jr.,C-PF,80.75,251.4,88.5,109.0,8.5,9.0,5171,3616,869,282,323,3841,1953,1333,972,661,437
70,1642264,nan,28.5,37.0,10.93,2.91,3.19,,Stephon Castle,SG,77.5,210.00,81.0,102.0,8.75,8.75,1190,297,332,74,22,988,423,344,249,177,81
71,1630577,St. John's (NY),26.0,32.0,12.38,3.2,3.2,,Julian Champagnie,SF,78.5,217.40,82.0,106.5,9.0,8.5,1649,644,234,121,87,1327,558,220,188,153,190
72,1630577,St. John's (NY),26.0,32.0,12.38,3.2,3.2,,Julian Champagnie,SF,78.25,212.40,82.0,107.0,8.75,9.25,1649,644,234,121,87,1327,558,220,188,153,190
73,1630577,St. John's (NY),28.5,34.5,11.39,3.04,3.14,,Julian Champagnie,SF,78.5,217.40,82.0,106.5,9.0,8.5,1649,644,234,121,87,1327,558,220,188,153,190
