,PLAYER_ID,SCHOOL_NAME,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,full_name,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP,PER
112,201143,Florida,31.0,35.5,12.15,3.37,Al Horford,PF,80.0,246,84.75,107.0,14705,8944,3629,866,1300,11900,6062,2104,1605,1569,1138,18.926186291739896
113,1629659,Iowa State,26.0,34.5,11.34,3.34,Talen Horton-Tucker,SG,74.5,235.4,85.25,103.0,2809,800,852,237,110,2426,1036,633,488,424,305,9.340983606557376
114,1628989,Maryland,31.0,38.0,10.89,3.09,Kevin Huerter,SG,78.25,194,79.5,101.5,6282,1843,1570,510,189,5392,2370,512,387,650,551,11.972776769509982
115,1630574,nan,24.5,31.0,12.2,3.12,Ariel Hukporti,C,82.75,246.00,86.5,111.5,48,51,11,1,15,31,21,13,6,21,25,3.52
116,1630538,Virginia Commonwealth,26.5,34.0,10.53,3.1,Bones Hyland,SG,74.0,169.00,81.25,101.5,2570,563,692,181,62,2200,877,404,343,344,266,8.796992481203008
117,1642345,nan,35.0,39.5,11.25,3.09,Oso Ighodaro,C,81.5,222.00,83.0,104.5,255,222,71,28,29,187,113,50,29,39,61,7.721311475409836
118,1631127,nan,29.5,35.0,11.83,3.31,Harrison Ingram,SF,77.25,232.80,84.25,103.5,4,9,3,3,0,4,2,0,0,1,5,3.2
119,1641713,South Carolina,31.0,37.0,11.39,3.21,GG Jackson,PF,80.25,214.40,83.5,106.0,908,288,88,40,29,762,315,193,144,96,77,9.883116883116884
120,1641748,Connecticut,30.5,39.5,10.83,3.14,Andre Jackson Jr.,SF,77.5,198.40,81.75,103.0,355,295,133,50,20,297,144,35,20,86,124,4.830645161290323
121,1631218,Indiana,33.0,36.5,11.8,3.2,Trayce Jackson-Davis,C,80.25,240.40,85.0,106.0,947,652,186,52,114,634,407,234,133,94,130,11.761538461538462
122,1642355,nan,32.0,40.5,10.96,3.09,Bronny James,SG,73.5,210.40,79.25,98.5,62,18,22,9,3,67,21,14,11,13,27,1.9259259259259258
123,1631170,California-Los Angeles,34.5,39.0,11.21,3.33,Jaime Jaquez Jr.,SF,78.0,226.40,81.5,99.5,1459,575,361,138,34,1159,554,317,249,208,141,11.957446808510639
124,1629660,Virginia,26.0,31.5,11.21,3.4,Ty Jerome,PG,76.25,194.4,76.0,98.0,1986,467,648,166,22,1592,729,286,243,225,229,9.423580786026202
125,1642358,nan,29.0,38.0,10.76,3.15,AJ Johnson,SG,76.25,167.00,80.5,102.0,440,118,152,24,6,426,164,74,64,70,58,6.862068965517241
126,1629661,Pittsburgh,30.5,36.5,10.52,3.26,Cameron Johnson,SG,79.0,205.2,82.0,103.0,5045,1527,742,332,120,3809,1735,804,683,349,382,13.670157068062828
127,201949,Wake Forest,30.5,35.0,11.21,3.23,James Johnson,SF-PF,79.0,257.2,84.75,105.5,6739,3153,1871,681,766,5660,2668,1415,950,1215,907,9.413450937155458
128,1630553,Tennessee,41.5,48.0,11.45,3.0,Keon Johnson,SG,75.5,184.80,79.25,97.0,1593,510,389,160,61,1522,570,294,227,256,198,7.262626262626263
129,1642352,nan,31.5,42.0,11.38,3.03,Keshad Johnson,PF,78.25,224.00,82.25,103.0,43,28,4,5,4,26,18,9,4,4,16,4.1875
130,1641732,Xavier,30.5,35.0,11.14,3.33,Colby Jones,SG,76.5,199.20,80.0,103.0,378,214,108,59,31,329,146,81,52,56,108,4.833333333333333
131,1641794,Weber State,26.5,33.5,11.08,3.25,Dillon Jones,SF,76.5,236.80,83.0,100.5,135,121,58,16,4,133,51,28,17,28,54,3.9444444444444446
132,1630529,Alabama,28.5,36.5,11.02,3.25,Herbert Jones,SF,78.0,206.40,84.25,106.0,2433,915,593,375,173,1837,877,522,430,316,240,13.004166666666666
133,1642403,nan,29.0,35.0,11.49,3.38,Isaac Jones,C,79.75,235.00,87.0,108.0,134,57,12,5,10,83,54,36,23,16,40,4.0
134,1630222,nan,24.0,31.0,10.6,3.33,Mason Jones,SG,75.75,207.2,79.0,102.5,393,134,104,17,3,287,122,150,97,62,83,4.469879518072289
135,1626145,Duke,26.5,32.5,11.84,3.32,Tyus Jones,PG,72.5,184.6,77.0,97.0,5249,1374,3022,667,65,4564,2033,598,491,557,682,10.530791788856305
136,201599,Texas A&M,26.0,30.5,12.3,3.27,DeAndre Jordan,C,81.75,250,90.0,113.5,10447,11951,1222,625,1675,6314,4234,4032,1977,1632,1228,16.411237785016286
137,202709,Texas,27.5,35.0,10.75,3.27,Cory Joseph,PG,74.0,186.2,77.5,99.0,6345,2253,2730,687,201,5487,2428,1166,919,929,929,8.590958019375673
138,1630548,Kentucky,31.0,36.5,11.13,3.13,Johnny Juzang,SG,77.5,209.00,82.5,100.5,802,259,99,47,13,689,290,71,57,52,102,7.401960784313726
139,1630557,Gonzaga,30.0,37.5,10.91,3.12,Corey Kispert,SF,78.0,223.80,79.0,102.0,3229,822,431,134,61,2458,1166,395,318,267,292,10.414383561643836
140,1641752,Wake Forest,26.5,32.5,11.49,3.23,Bobi Klintman,PF,80.75,212.20,83.0,106.5,15,7,7,2,1,10,6,2,1,1,8,3.25
141,1642261,nan,31.0,39.0,10.56,3.07,Dalton Knecht,SF,77.25,212.20,81.0,103.5,706,216,66,24,8,557,257,84,64,37,78,8.5
142,1642278,nan,27.0,34.0,10.97,3.27,Tyler Kolek,PG,73.25,196.60,74.75,95.0,81,27,70,12,4,82,27,17,13,18,41,2.8536585365853657
143,1631132,Arizona,28.0,33.5,11.3,3.27,Christian Koloko,C,82.75,221.00,89.25,113.0,272,263,47,29,73,216,112,73,47,32,95,5.494736842105263
144,1628398,Utah,27.0,34.0,10.72,3.25,Kyle Kuzma,SF-SG,80.0,222.6,84.25,107.5,10174,3783,1598,340,300,8638,3873,1810,1287,1320,606,15.82013201320132
145,1631222,Wake Forest,27.5,34.0,10.58,3.37,Jake LaRavia,PF,78.75,227.20,81.5,104.0,1400,709,395,165,62,1072,475,348,253,235,202,8.930693069306932
146,203897,California-Los Angeles,33.5,41.5,10.42,3.19,Zach LaVine,PG,76.5,180.9,80.25,100.0,15314,2980,2905,629,195,11554,5477,3110,2588,1933,728,18.531593406593405
147,1641796,nan,30.5,38.0,11.15,3.06,Pelle Larsson,SG,77.25,212.40,79.5,102.0,251,92,65,32,7,203,89,61,41,24,55,5.254545454545455
